  r/a  gpsi_sqrt  q  m=0cos  m=0sin  m=1cos  m=1sin  m=2cos  m=2sin  m=3cos  m=3sin  m=4cos  m=4sin  m=5cos  m=5sin  m=6cos  m=6sin  m=7cos  m=7sin  m=8cos  m=8sin  m=9cos  m=9sin  m=10cos  m=10sin  m=11cos  m=11sin  m=12cos  m=12sin  m=13cos  m=13sin  m=14cos  m=14sin  m=15cos  m=15sin  m=16cos  m=16sin  m=17cos  m=17sin  m=18cos  m=18sin  m=19cos  m=19sin  m=20cos  m=20sin  m=21cos  m=21sin  m=22cos  m=22sin  m=23cos  m=23sin  m=24cos  m=24sin  m=25cos  m=25sin  m=26cos  m=26sin  m=27cos  m=27sin  m=28cos  m=28sin  m=29cos  m=29sin  m=30cos  m=30sin  m=31cos  m=31sin  m=32cos  m=32sin  m=33cos  m=33sin  m=34cos  m=34sin  m=35cos  m=35sin  m=36cos  m=36sin  m=37cos  m=37sin  m=38cos  m=38sin  m=39cos  m=39sin  m=40cos  m=40sin  m=41cos  m=41sin  m=42cos  m=42sin  m=43cos  m=43sin  m=44cos  m=44sin  m=45cos  m=45sin  m=46cos  m=46sin  m=47cos  m=47sin  m=48cos  m=48sin  m=49cos  m=49sin  m=50cos  m=50sin  m=51cos  m=51sin  m=52cos  m=52sin  m=53cos  m=53sin  m=54cos  m=54sin  m=55cos  m=55sin  m=56cos  m=56sin  m=57cos  m=57sin  m=58cos  m=58sin  m=59cos  m=59sin  m=60cos  m=60sin  m=61cos  m=61sin  m=62cos  m=62sin  m=63cos  m=63sin  m=64cos  m=64sin
   0.00000E+00   5.41535E-09   9.98748E-01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
   4.41306E-03   5.87772E-03   9.98748E-01   7.48245E-07  -6.82659E-07  -1.15735E-05   1.48112E-05   1.07570E-06  -1.12175E-06   7.46949E-07  -7.20687E-07  -4.06374E-07   3.59634E-07   9.13045E-08  -8.53107E-08   6.80141E-08  -5.82486E-08  -8.27996E-08   7.82219E-08   1.86345E-08  -1.92206E-08   3.09512E-08  -2.64075E-08  -3.36706E-08   3.24595E-08   2.33327E-09  -2.35601E-09   2.00524E-08  -1.80650E-08  -1.78487E-08   1.83930E-08  -1.81493E-09   1.41063E-09   1.31725E-08  -1.14533E-08  -9.22255E-09   9.68575E-09  -4.19712E-09   4.42426E-09   9.98621E-09  -9.08420E-09  -5.36693E-09   6.37117E-09  -4.25733E-09   4.31005E-09   6.79821E-09  -5.76227E-09  -2.23155E-09   2.98970E-09  -4.65931E-09   5.15788E-09   5.22644E-09  -4.58450E-09  -8.89185E-10   1.94195E-09  -3.97711E-09   4.34583E-09   3.29968E-09  -2.44816E-09   5.26907E-10   3.07070E-10  -3.84468E-09   4.55754E-09   2.43334E-09  -1.81494E-09   9.05538E-10   1.50256E-10  -3.01217E-09   3.62118E-09   1.22078E-09  -3.87336E-10   1.54972E-09  -6.69448E-10  -2.75013E-09   3.64711E-09   7.78640E-10  -9.79170E-11   1.49759E-09  -4.23366E-10  -1.95293E-09   2.76052E-09  -1.21326E-11   9.09167E-10   1.78652E-09  -8.52277E-10  -1.67258E-09   2.72146E-09  -2.12283E-10   1.01461E-09   1.53179E-09  -4.17425E-10  -9.53001E-10   1.92158E-09  -7.12269E-10   1.72603E-09   1.61345E-09  -6.04302E-10  -7.06885E-10   1.88081E-09  -7.05905E-10   1.66087E-09   1.25363E-09  -7.51968E-11  -1.30753E-10   1.24409E-09  -9.49851E-10   2.09852E-09   1.22897E-09  -1.24497E-10   2.35452E-11   1.26966E-09  -7.90367E-10   1.90557E-09   8.68599E-10   3.91880E-10   4.43803E-10   8.07995E-10  -8.70971E-10   2.16199E-09   8.14099E-10   4.02223E-10   5.28940E-10   8.75607E-10  -6.38724E-10   1.91682E-09   4.90575E-10   8.73368E-10   8.32519E-10   5.42568E-10  -6.10062E-10   2.04496E-09   4.29983E-10   9.16459E-10
   8.83967E-03   1.17554E-02   9.99858E-01   1.19876E-06  -1.22208E-06  -1.00847E-05   1.39227E-05   6.36862E-07  -9.23378E-07   2.41515E-06  -2.29482E-06  -1.19302E-06   1.07507E-06   5.90532E-08  -1.53512E-07   3.71959E-07  -3.42423E-07  -1.54382E-07   2.15418E-07  -1.47261E-07   1.30238E-07   1.24597E-07  -1.49762E-07   4.05959E-08  -2.87119E-08  -7.45547E-08   7.35517E-08   5.91240E-09  -1.14363E-08   3.58006E-08  -2.08883E-08  -2.04412E-08   2.06716E-08  -1.67812E-08   4.37747E-09   1.92760E-08  -1.55985E-08   1.11948E-08  -6.14810E-09  -1.64519E-08   1.28029E-08  -9.10225E-09   1.25741E-08   1.48508E-08  -1.20674E-08   3.53522E-09  -8.11465E-09  -1.45831E-08   1.42556E-08   5.01589E-09  -1.72240E-09   1.15560E-08  -1.14528E-08  -1.24193E-08   1.34817E-08  -6.05562E-09   6.72459E-09   1.43339E-08  -1.54987E-08  -1.05649E-09   1.54174E-09  -1.07618E-08   1.19069E-08   5.95199E-09  -5.60180E-09   4.62073E-09  -2.73568E-09  -7.84107E-09   8.03802E-09   1.17143E-10  -1.34787E-09   6.47786E-09  -5.19701E-09  -2.00311E-09   3.43613E-09  -4.38058E-09   4.05043E-09   1.91351E-09  -3.95372E-10   2.54541E-09  -1.41762E-09  -1.89385E-09   9.64795E-10  -1.74735E-09   2.38556E-09   2.88439E-09  -1.03760E-09   8.79662E-10  -6.35073E-10  -4.09812E-09   4.88228E-09   4.49045E-10   6.66932E-10   4.30613E-09  -4.22834E-09  -2.24601E-09   2.75541E-09  -2.64574E-09   3.99056E-09   3.56898E-09  -2.78068E-09   2.08442E-10   8.11397E-10  -3.58695E-09   4.34332E-09   2.02388E-09  -1.69985E-09   2.51924E-09  -1.49599E-09  -2.54564E-09   3.76549E-09  -8.04532E-10   1.41535E-09   2.23336E-09  -9.32941E-10  -2.35361E-10   1.28482E-09  -1.20138E-09   1.45687E-09   9.13131E-10   1.45916E-10   1.15619E-09   4.14505E-10  -7.70204E-10   1.44627E-09  -9.48365E-10   2.04660E-09   1.21349E-09   1.15986E-10   1.22399E-09  -5.96936E-10  -1.26920E-09   2.18976E-09
   1.32656E-02   1.76332E-02   1.00041E+00   1.37106E-06  -1.05550E-06  -8.48816E-06   1.26231E-05   6.50604E-07  -1.29076E-06   3.35011E-06  -2.21435E-06  -2.82793E-06   2.49621E-06   9.01318E-07  -1.75904E-06   5.02675E-07  -3.39859E-07  -1.31739E-07   2.67909E-07  -4.07806E-08  -4.11323E-08  -7.84143E-08   1.80184E-07   1.18100E-07  -7.67099E-08  -1.19234E-07   1.39912E-07  -9.42020E-08   6.26226E-08   1.08839E-07  -1.39677E-07  -8.53195E-09   3.00755E-08  -3.94490E-09  -3.63586E-08   4.96155E-09  -1.44618E-08   3.52592E-08  -1.54302E-08   1.54347E-08  -1.01585E-08  -5.87699E-08   7.05173E-08   1.68535E-08  -1.95291E-08   8.25005E-09   6.96215E-09  -2.68526E-08   2.63243E-08  -7.86726E-10  -1.69648E-08   6.19982E-09  -3.00792E-09   2.32147E-08  -2.78904E-08  -1.25795E-08   9.69797E-09  -2.57625E-09   1.76971E-09   2.21824E-08  -1.83515E-08  -1.30762E-08   2.44025E-08  -9.13846E-09   5.48888E-09  -2.11725E-09   5.09222E-09   3.72022E-09   2.74534E-10  -8.35426E-10  -3.81675E-09  -1.13428E-08   8.89294E-09   1.50353E-08  -1.89604E-08   4.96917E-09  -2.21433E-09  -6.58104E-09   6.25662E-09   3.02881E-09  -4.48269E-09   8.91033E-10   6.21216E-09   1.12154E-09   4.33902E-10  -1.00505E-08   1.09567E-08  -9.20122E-10   1.12090E-09   7.49074E-09  -7.60913E-09  -6.22087E-09   6.71557E-09   1.22928E-09  -5.68485E-09   4.33124E-09  -3.41908E-09   3.28761E-09  -1.20666E-09  -1.23560E-09   8.54990E-10  -4.47096E-09   7.03003E-09   5.21293E-09  -3.47693E-09  -2.89130E-09   5.96479E-09  -5.43892E-09   5.13403E-09   2.40378E-09  -3.44793E-09   9.97801E-10   8.01143E-10   1.49375E-09  -3.14646E-09  -2.07760E-09   1.57233E-09   3.38551E-09  -2.53684E-09   3.59681E-09  -2.09534E-09  -4.62685E-09   6.85209E-09   2.71905E-10  -4.84718E-11   5.49857E-10   2.31775E-09  -1.08142E-09   2.50760E-09  -1.70968E-09   1.00463E-09  -8.14269E-10   1.40166E-09
   1.76935E-02   2.35109E-02   1.00071E+00   1.93803E-06  -1.69651E-06  -7.81186E-06   1.21604E-05   9.73256E-07  -2.60575E-06   3.92692E-06  -1.85313E-06  -5.28351E-06   4.07434E-06   1.91004E-06  -4.27448E-06   3.64746E-07  -4.22316E-07   1.45262E-07  -2.80907E-07  -6.89947E-08  -1.07042E-07   4.55132E-08   2.01838E-08   3.07354E-07  -1.35110E-07  -2.65077E-07   5.08373E-07  -2.85921E-08   4.82402E-09  -2.30068E-08   9.31934E-08   1.16472E-08   2.02886E-08  -6.57766E-08   2.20555E-08  -7.82221E-08   9.56172E-09   1.16511E-07  -1.75819E-07  -3.18069E-08   5.61937E-08   1.54752E-08  -5.71215E-08  -1.04448E-08   1.07714E-08   5.79422E-08  -3.88679E-08   3.11168E-09   2.19383E-08  -4.19191E-08   4.47073E-08   2.97325E-08  -4.49288E-08  -1.93235E-09   2.62911E-08  -3.17245E-09  -1.06542E-09  -3.02163E-08   2.62614E-08   9.46866E-09  -1.00892E-08   1.42411E-08  -1.57160E-09  -3.15929E-08   3.91164E-08   6.55293E-09  -2.35401E-08  -3.21374E-10   4.53395E-09   1.84959E-08  -2.50406E-08  -1.67735E-08   9.31236E-09   6.18953E-09  -2.05128E-08   2.01372E-08  -1.93027E-08  -5.43282E-09   1.60635E-08  -7.42492E-10  -1.21269E-09  -7.07925E-09   1.66224E-08   1.33138E-08  -4.96398E-09  -1.37148E-08   2.31934E-08  -1.03347E-08   5.24113E-09   4.70701E-09  -9.67659E-09  -3.45023E-10   1.84258E-09  -6.26287E-10  -7.45384E-09  -8.03867E-09   2.93447E-09   1.31665E-08  -1.69338E-08   2.65038E-09   3.11697E-09  -4.97065E-09   5.09624E-09   3.01671E-09  -4.88782E-09   2.37746E-09   3.05607E-09   4.85584E-09  -3.53728E-09  -1.18177E-08   1.26906E-08   4.49434E-09  -8.32744E-09   1.16432E-09   3.35880E-09  -3.05055E-09   5.00927E-09  -4.75651E-09   2.97405E-09  -6.97363E-10   1.72568E-09   6.12591E-09  -5.20992E-09  -6.89837E-09   7.72449E-09   4.53260E-10  -6.37734E-09   3.45747E-09  -4.77593E-09   3.44146E-09  -3.15459E-09  -1.38440E-09  -3.70171E-10
   2.21240E-02   2.96111E-02   1.00095E+00   1.50085E-06  -1.15829E-06  -6.60397E-06   1.11955E-05   1.16584E-07  -3.11195E-06   6.05430E-06  -3.78993E-06  -9.51057E-06   7.26361E-06   4.26501E-06  -9.09657E-06  -2.49020E-07   4.10279E-07   6.55427E-07  -9.64201E-07  -2.62328E-07   4.70193E-07   5.84699E-08   1.83882E-08   5.12080E-07  -2.40400E-07  -5.19116E-07   8.29682E-07   1.19071E-07  -3.86412E-07  -6.81188E-08   1.23806E-07   1.50768E-07  -1.22337E-07  -1.17902E-07   2.50453E-07  -7.01433E-08   8.37864E-08   6.46963E-08  -4.94989E-08  -2.60815E-08   8.77048E-08  -6.33701E-08  -1.36874E-08  -3.25217E-08  -5.72859E-08   9.38615E-08  -1.41487E-07  -2.83968E-08   5.81566E-08   1.96726E-08  -3.22094E-08  -3.83675E-08   3.52630E-08   7.37865E-08  -8.27068E-08  -2.08187E-08   3.81508E-08  -3.29846E-08  -1.06472E-09   5.02676E-08  -6.84243E-08  -1.26901E-08   5.45771E-08   3.08322E-08  -9.56907E-09  -5.79686E-08   8.90876E-08   2.67275E-08  -4.10757E-08   1.37325E-09   1.93102E-08  -2.74734E-08   1.98790E-08   9.08804E-10  -2.43829E-08  -4.27698E-10   4.92401E-09   1.91961E-08  -1.41530E-08  -2.53268E-08   3.66765E-08  -2.30870E-11  -2.18458E-08   6.44721E-09  -1.55108E-08   1.17101E-08  -1.81159E-08  -1.74291E-08   7.24680E-09   1.25830E-08  -2.24471E-08   1.05335E-08   3.19432E-11  -8.11263E-10   1.47427E-08  -3.91152E-09   5.24173E-09  -1.13015E-08   7.92517E-09   2.37663E-08  -2.59916E-08  -1.88425E-08   2.99334E-08   1.74593E-09  -8.90827E-09  -2.27579E-10   7.94570E-09   1.70481E-09   6.02598E-09  -1.25240E-09   4.46296E-09  -1.80793E-08   1.23132E-08   1.33622E-08  -2.78926E-08  -2.40072E-09   5.80163E-09  -1.28127E-09  -5.21609E-09  -3.49710E-09   9.25966E-10   7.27736E-09  -7.53227E-09   1.87208E-09   1.19553E-09  -5.25691E-09   3.36034E-09  -1.48476E-09  -7.53254E-09   7.06947E-09  -7.74772E-09   3.18100E-09   1.47438E-09
   2.65561E-02   3.65791E-02   1.00144E+00   8.59809E-07  -4.40328E-07  -4.57612E-06   8.80428E-06  -1.34000E-06  -2.76080E-06   7.78111E-06  -4.76463E-06  -1.44553E-05   1.09477E-05   7.92228E-06  -1.71630E-05  -3.95415E-07   1.20075E-06  -9.53486E-09   6.56441E-07  -5.45749E-09   1.96406E-07   2.29817E-07  -4.09359E-07   1.55239E-07  -1.62268E-07  -2.56515E-07   4.25812E-07   3.56854E-08  -2.45266E-07  -5.09673E-08   1.67999E-07   3.42061E-07  -2.13952E-08  -3.62044E-07   6.21452E-07   1.09630E-07  -2.42533E-07  -1.21095E-07   1.59351E-07   1.02220E-07  -1.44653E-07  -8.13969E-08   1.86121E-07  -7.52842E-08   7.26109E-08   1.49435E-07  -2.10770E-07  -6.63974E-08   1.50822E-07  -5.14774E-08  -2.27586E-08  -1.73090E-08  -1.02092E-07   1.03343E-07  -1.25537E-07  -7.92855E-08   1.31525E-07   8.12132E-08  -1.32486E-07  -5.91796E-08   6.30488E-08   3.69551E-08  -8.31577E-08   2.37910E-08  -1.80558E-08  -6.33532E-08   7.07061E-08   4.82965E-08  -7.62875E-08   2.53742E-08   2.23902E-08  -1.15038E-08   4.74583E-08  -4.82043E-08   4.67933E-08   4.82608E-08  -7.10566E-08  -3.74758E-08   6.96562E-08   2.53191E-08  -1.47981E-08  -2.50815E-08   4.24802E-08   8.34651E-09  -1.82129E-08   1.02410E-08   4.67502E-09  -3.36732E-08   3.31230E-08   5.51187E-09  -3.94191E-08   2.69826E-10  -2.94549E-10   2.38126E-08  -2.57164E-08  -2.52366E-08   3.01890E-08   1.01918E-08  -2.98963E-08  -9.87875E-09  -4.37925E-09   2.16719E-08  -3.11407E-08  -2.28896E-08   2.95283E-08   1.20799E-08  -3.24933E-08   2.01682E-08  -1.20777E-08  -2.09882E-08   3.94552E-08   6.76966E-09  -2.07293E-08  -1.01456E-08   1.12025E-08   1.16632E-08  -1.11677E-08  -3.35195E-09   1.53517E-08   3.75846E-09   3.04213E-09  -1.83004E-08   2.28084E-08   1.97620E-08  -2.39760E-08  -1.72177E-08   2.86802E-08  -9.26417E-09  -1.65676E-09   1.75393E-08  -2.50647E-08  -8.91507E-09   1.91536E-08
   3.09905E-02   4.24174E-02   1.00204E+00   1.39424E-07   2.04391E-07  -1.92266E-06   5.35812E-06  -3.00932E-06  -1.85961E-06   8.25555E-06  -3.60313E-06  -1.92936E-05   1.41360E-05   1.28361E-05  -2.79400E-05  -9.18595E-07   2.24390E-06  -1.36484E-07   1.71462E-06   1.20565E-07   2.68936E-08   1.03307E-07  -1.29313E-07  -1.96742E-07  -1.03950E-07   4.22986E-07  -8.64557E-07  -1.16299E-07   1.83718E-07   1.25982E-08   2.74251E-08   6.20895E-07  -2.07842E-07  -8.26653E-07   1.56066E-06   2.17599E-07  -5.79169E-07   1.46389E-08  -6.65294E-08   9.58487E-08   9.02339E-08  -1.34919E-07   2.78881E-07   7.67105E-08  -6.05586E-08  -1.34628E-07   2.05619E-07   7.47591E-08  -1.34436E-07  -6.83306E-08   1.27185E-07  -7.89265E-08   3.28153E-08   1.68710E-07  -2.56194E-07  -1.11797E-07   2.17629E-07   3.40733E-09  -1.04156E-07  -3.94615E-08  -1.08379E-07   1.26469E-07  -1.73239E-07  -6.55173E-08   1.39607E-07   2.95945E-08  -4.64832E-08  -4.30566E-08   2.99443E-08   5.43025E-08  -1.33897E-07  -6.89275E-09  -5.79851E-09   3.12778E-09  -8.48434E-09   2.95195E-08  -3.88141E-08  -1.71287E-09   6.04377E-08   1.02011E-08   4.58807E-08  -8.05261E-08   7.50649E-08   6.46278E-08  -1.17545E-07  -4.72365E-09   4.79288E-08   1.07978E-09   3.38614E-08  -3.49844E-08   5.94543E-08   2.52925E-08  -3.48656E-08  -3.48837E-08   5.10345E-08   1.49024E-08  -1.32015E-08  -1.69119E-08   2.17147E-08  -5.02084E-09  -8.35778E-09   3.49541E-08  -3.36030E-08  -4.81616E-08   5.63428E-08   9.76368E-09  -6.07325E-08   1.87092E-08  -3.47222E-08   8.72854E-09   1.03681E-08  -3.13282E-08   3.86297E-08   2.88305E-08  -6.05551E-08  -2.33666E-08   1.00014E-08   2.81252E-08  -5.48481E-08  -3.59229E-09   1.00613E-08  -1.01910E-08   8.80170E-09   2.19407E-08  -2.45610E-08  -1.09213E-08   3.43428E-08  -1.86481E-08   1.26517E-08   7.85995E-09  -3.44471E-08   2.08439E-08  -1.37183E-08
   3.54276E-02   4.75442E-02   1.00261E+00  -1.08291E-07   2.83430E-07   1.73453E-07   2.62781E-06  -4.00887E-06  -1.60466E-06   8.12988E-06  -2.26592E-06  -2.32328E-05   1.63278E-05   1.83740E-05  -4.02830E-05  -8.84799E-07   2.87065E-06   4.41612E-07   2.06762E-06   2.18952E-07   5.83542E-07   1.06390E-07  -5.99544E-08   1.68705E-07  -8.82987E-08   3.53821E-08  -3.55632E-07   5.58627E-08   2.06241E-07  -8.46029E-08  -5.06401E-09   2.56542E-07  -1.13936E-07  -6.04468E-07   1.00270E-06   2.03262E-07  -5.86205E-07  -1.62504E-07   1.42719E-07   4.73192E-07  -1.85759E-07  -5.92327E-07   1.17149E-06   1.03103E-07  -3.78891E-07   9.15808E-08  -1.85618E-07  -4.46771E-08   9.78129E-08   1.69840E-09   6.92325E-08   2.13159E-08   6.24491E-08  -1.24444E-07   1.92616E-07   4.07105E-08  -9.75121E-08  -5.60321E-08   4.84144E-08  -5.78106E-08  -2.85065E-08   1.91547E-07  -3.19214E-07  -1.01468E-07   2.40113E-07   3.29076E-08  -1.05293E-07  -3.88928E-08  -9.12564E-08   1.59369E-07  -2.20833E-07  -6.08114E-08   1.72587E-07  -2.18109E-09   3.05510E-08  -2.98287E-08   7.85339E-09   2.79017E-08  -8.15389E-08  -4.15443E-08   2.46482E-10   6.43589E-08  -1.02968E-07  -2.43779E-08   3.01538E-08   2.70208E-08  -3.11937E-08   2.97530E-08   1.20705E-08  -9.48430E-08   1.23769E-07   9.12694E-08  -1.45391E-07  -3.28423E-08   1.07447E-07  -4.71394E-09   7.16508E-08  -6.50229E-08   5.57855E-08   3.92311E-08  -9.16588E-08  -2.60547E-08   2.27611E-08   3.09969E-08  -3.51472E-08  -2.99021E-08   6.81637E-08   1.91437E-08  -1.92731E-08  -1.76360E-08   3.29642E-08  -3.25432E-09   3.20303E-09   5.40222E-09  -1.16504E-08  -1.81084E-08   5.76859E-09   4.65927E-08  -4.54449E-08  -6.49844E-08   8.48673E-08   2.42895E-08  -8.71393E-08   8.37072E-09  -3.60359E-08   1.76831E-08  -9.65627E-09  -2.18736E-08   4.01864E-08   1.95839E-08  -3.49381E-08  -2.20772E-08   1.91975E-08
   3.98673E-02   5.34787E-02   1.00322E+00  -1.54019E-07   5.28076E-07   9.02127E-07   1.11278E-06  -3.86788E-06  -1.95996E-06   6.74105E-06  -6.12652E-07  -2.53363E-05   1.72795E-05   2.31808E-05  -5.27075E-05   4.04422E-07   2.76130E-06   1.75724E-07   3.86907E-06   6.96761E-07   9.38694E-07  -1.06341E-07   2.84810E-08   3.45620E-07  -1.87981E-07  -4.48614E-07   6.04628E-07   7.40103E-08  -2.41031E-07   7.14621E-08  -1.33851E-07  -5.08837E-07   1.62192E-07   4.55402E-07  -7.40947E-07  -2.01957E-08   6.57641E-08   5.79346E-09  -1.91852E-09   5.94879E-07  -1.89005E-08  -1.04173E-06   1.94659E-06   3.07526E-07  -7.03950E-07  -2.35532E-07   8.73427E-08   1.88289E-07  -1.38410E-07  -2.57283E-07   4.86093E-07  -2.95108E-08  -1.40645E-07   1.26987E-07  -2.03054E-07  -4.01977E-08   5.42396E-08   3.80356E-08   8.17198E-09   3.09543E-08   1.03487E-07  -1.49773E-07   2.09797E-07   7.85508E-08  -1.27898E-07  -8.89958E-08   8.58891E-08  -5.30954E-08  -8.80467E-08   2.42386E-07  -3.83622E-07  -1.38591E-07   2.94226E-07   7.18060E-08  -8.42311E-08  -9.10209E-08  -3.35371E-08   2.03421E-07  -3.25273E-07  -8.03084E-08   2.07245E-07  -2.24193E-08   2.16619E-08   3.88712E-08  -7.33670E-08  -1.33491E-08  -1.92775E-08   3.68003E-09  -3.12632E-08   5.76652E-08  -5.84854E-08  -4.50733E-08   8.42684E-08   3.19203E-08  -4.81223E-08  -1.63364E-08   1.93031E-08  -3.60934E-08   2.86564E-08   5.04085E-08  -1.12545E-07  -2.06241E-08   5.76898E-08   4.08471E-08   4.10815E-08  -1.21153E-07   1.59518E-07   8.02479E-08  -1.59011E-07  -1.96425E-08   5.80612E-08  -1.46970E-08   5.45551E-08  -2.43379E-08   3.54660E-08  -2.62605E-09  -2.80241E-08  -1.37787E-08  -9.18722E-09   2.88324E-08  -5.20200E-08  -1.73148E-08   5.24574E-08   1.05662E-08   8.16381E-09  -9.36364E-09   1.69802E-08  -1.43370E-08   2.88045E-08  -5.74570E-09  -1.82317E-08  -7.74485E-09  -3.11392E-08
