  time  amplitude  omega  amp_cos  amp_sin
   3.78297E+00   5.93453E-09   8.27272E-01  -5.93410E-09   7.14763E-11
   7.56594E+00   3.62230E-09   1.18504E-01  -3.28305E-09  -1.53059E-09
   1.13489E+01   3.42710E-09   5.69549E-01   2.92034E-09  -1.79350E-09
   1.51319E+01   7.01539E-09   1.85362E-01   6.93613E-09   1.05161E-09
   1.89149E+01   5.11879E-09   2.86277E-01   1.69426E-09   4.83027E-09
   2.26978E+01   7.43995E-09   3.70471E-01  -6.50525E-09   3.61034E-09
   2.64808E+01   7.42305E-09   2.68421E-01  -6.48289E-09  -3.61576E-09
   3.02638E+01   8.09929E-09   3.65308E-01   2.54714E-09  -7.68834E-09
   3.40468E+01   1.01371E-08   2.90140E-01   1.00183E-08  -1.54782E-09
   3.78297E+01   9.88692E-09   3.13491E-01   5.06757E-09   8.48945E-09
   4.16127E+01   1.16386E-08   3.36101E-01  -7.79004E-09   8.64705E-09
   4.53957E+01   1.27290E-08   3.05043E-01  -1.20968E-08  -3.96152E-09
   4.91786E+01   1.40152E-08   3.40278E-01   4.61618E-10  -1.40076E-08
   5.29616E+01   1.67319E-08   3.14224E-01   1.57223E-08  -5.72398E-09
   5.67446E+01   1.81478E-08   3.15520E-01   1.20527E-08   1.35674E-08
   6.05276E+01   2.07615E-08   3.24140E-01  -9.95121E-09   1.82212E-08
   6.43105E+01   2.31861E-08   3.15967E-01  -2.30071E-08  -2.87613E-09
   6.80935E+01   2.62783E-08   3.27880E-01  -5.37695E-09  -2.57223E-08
   7.18765E+01   3.06192E-08   3.16412E-01   2.56137E-08  -1.67772E-08
   7.56594E+01   3.39577E-08   3.17122E-01   2.76418E-08   1.97244E-08
   7.94424E+01   3.87154E-08   3.21022E-01  -1.00800E-08   3.73802E-08
   8.32254E+01   4.39593E-08   3.15112E-01  -4.36672E-08   5.05904E-09
   8.70084E+01   4.99189E-08   3.21582E-01  -2.25898E-08  -4.45151E-08
   9.07913E+01   5.71148E-08   3.17769E-01   3.81949E-08  -4.24648E-08
   9.45743E+01   6.41731E-08   3.16454E-01   6.00854E-08   2.25374E-08
   9.83573E+01   7.28812E-08   3.18411E-01   5.39778E-10   7.28792E-08
   1.02140E+02   8.22733E-08   3.15875E-01  -7.63046E-08   3.07654E-08
   1.05923E+02   9.38028E-08   3.19061E-01  -6.37369E-08  -6.88227E-08
   1.09706E+02   1.05577E-07   3.18101E-01   4.65219E-08  -9.47746E-08
   1.13489E+02   1.19596E-07   3.17153E-01   1.19161E-07   1.01891E-08
   1.17272E+02   1.34932E-07   3.18348E-01   3.74441E-08   1.29633E-07
   1.21055E+02   1.52364E-07   3.17118E-01  -1.21078E-07   9.24920E-08
   1.24838E+02   1.72164E-07   3.18331E-01  -1.46603E-07  -9.02661E-08
   1.28621E+02   1.94597E-07   3.15826E-01   3.40458E-08  -1.91595E-07
   1.32404E+02   2.19770E-07   3.19129E-01   2.15911E-07  -4.10044E-08
   1.36187E+02   2.49650E-07   3.15992E-01   1.33263E-07   2.11107E-07
   1.39970E+02   2.80595E-07   3.17949E-01  -1.67503E-07   2.25114E-07
   1.43753E+02   3.18613E-07   3.18253E-01  -3.06827E-07  -8.58584E-08
   1.47536E+02   3.59622E-07   3.16216E-01  -3.65142E-08  -3.57764E-07
   1.51319E+02   4.05135E-07   3.17091E-01   3.60661E-07  -1.84548E-07
   1.55102E+02   4.61146E-07   3.18571E-01   3.42960E-07   3.08275E-07
   1.58885E+02   5.19270E-07   3.16240E-01  -1.81816E-07   4.86399E-07
   1.62668E+02   5.85595E-07   3.18490E-01  -5.85575E-07   4.82354E-09
   1.66451E+02   6.63615E-07   3.15818E-01  -2.48797E-07  -6.15211E-07
   1.70234E+02   7.50401E-07   3.17797E-01   5.47585E-07  -5.13082E-07
   1.74017E+02   8.50731E-07   3.16511E-01   7.68072E-07   3.65800E-07
   1.77800E+02   9.59355E-07   3.18450E-01  -7.51015E-08   9.56410E-07
   1.81583E+02   1.08329E-06   3.16037E-01  -1.03590E-06   3.16896E-07
   1.85366E+02   1.22955E-06   3.17568E-01  -7.59979E-07  -9.66553E-07
   1.89149E+02   1.38439E-06   3.17197E-01   7.04185E-07  -1.19191E-06
   1.92932E+02   1.57731E-06   3.16700E-01   1.55693E-06   2.52696E-07
   1.96715E+02   1.77493E-06   3.19101E-01   3.57399E-07   1.73858E-06
   2.00498E+02   2.01106E-06   3.16589E-01  -1.68669E-06   1.09519E-06
   2.04281E+02   2.28015E-06   3.17362E-01  -1.84955E-06  -1.33351E-06
   2.08063E+02   2.57319E-06   3.18590E-01   6.59276E-07  -2.48730E-06
   2.11846E+02   2.91405E-06   3.17120E-01   2.89578E-06  -3.25811E-07
   2.15629E+02   3.29261E-06   3.16470E-01   1.53691E-06   2.91190E-06
   2.19412E+02   3.72203E-06   3.18322E-01  -2.45022E-06   2.80177E-06
   2.23195E+02   4.23002E-06   3.17105E-01  -3.97738E-06  -1.43999E-06
   2.26978E+02   4.76231E-06   3.16851E-01  -1.18051E-07  -4.76085E-06
   2.30761E+02   5.38080E-06   3.17710E-01   4.96915E-06  -2.06411E-06
   2.34544E+02   6.10618E-06   3.16441E-01   4.23934E-06   4.39469E-06
   2.38327E+02   6.89220E-06   3.16609E-01  -2.87515E-06   6.26386E-06
   2.42110E+02   7.79649E-06   3.17291E-01  -7.78254E-06  -4.66126E-07
   2.45893E+02   8.80790E-06   3.16019E-01  -2.73287E-06  -8.37321E-06
   2.49676E+02   9.97563E-06   3.17039E-01   7.71314E-06  -6.32619E-06
   2.53459E+02   1.12679E-05   3.18049E-01   9.79947E-06   5.56202E-06
